,Rank,Movie,Year,Crew,IMDB Ratings,User Reviews
0,1,The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,2750736
1,2,The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,1913361
2,3,The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,2723511
3,4,The Godfather Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,1303113
4,5,12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",9.0,814625
5,6,Schindler's List,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,1387201
6,7,The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,1890007
7,8,Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8,2113200
8,9,The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,1918590
9,10,"The Good, the Bad and the Ugly",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,778398
10,11,Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos (dir.), Shameik Moore, Hailee Steinfeld",8.8,105812
11,12,Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8,2139928
12,13,Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.7,2190419
13,14,The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,1705810
14,15,Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2417364
15,16,Star Wars: Episode V - The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,1323274
16,17,The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.7,1961055
17,18,Goodfellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,1193932
18,19,One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6,1030084
19,20,Se7en,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,1700879
20,21,It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,472758
21,22,Seven Samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,353278
22,23,The Silence of the Lambs,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6,1469884
23,24,Saving Private Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.6,1425739
24,25,City of God,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,771920
25,26,Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.6,1916138
26,27,Life Is Beautiful,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6,712126
27,28,The Green Mile,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.6,1337534
28,29,Star Wars: Episode IV - A New Hope,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.5,1395631
29,30,Terminator 2: Judgment Day,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,1124867
30,31,Back to the Future,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,1241195
31,32,Spirited Away,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,791763
32,33,The Pianist,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,857769
33,34,Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,688705
34,35,Parasite,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.5,857820
35,36,Léon: The Professional,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,1191290
36,37,The Lion King,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,1087355
37,38,Gladiator,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,1538500
38,39,American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,1144709
39,40,The Departed,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,1358456
40,41,Whiplash,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,907199
41,42,The Prestige,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,1366765
42,43,The Usual Suspects,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5,1105713
43,44,Casablanca,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.5,584308
44,45,Grave of the Fireflies,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.5,288050
45,46,Harakiri,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.5,61203 
46,47,The Intouchables,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5,883017
47,48,Modern Times,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,248668
48,49,Once Upon a Time in the West,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.4,337558
49,50,Cinema Paradiso,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,268890
50,51,Rear Window,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4,502530
51,52,Alien,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,904790
52,53,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.4,188767
53,54,Apocalypse Now,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,683054
54,55,Memento,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,1265367
55,56,Django Unchained,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,1602411
56,57,Indiana Jones and the Raiders of the Lost Ark,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4,988952
57,58,WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,1145107
58,59,The Lives of Others,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,397058
59,60,Sunset Blvd.,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,227180
60,61,Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,202505
61,62,Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,1126787
62,63,The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,1050978
63,64,The Great Dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,229023
64,65,Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,129759
65,66,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.4,582548
66,67,Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,733455
67,68,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,1174670
68,69,The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,1744369
69,70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3,500974
70,71,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,1494636
